date,sku_id,store_id,quantity_sold,day_of_week,weekofyear,month,is_weekend,is_flu_season,is_holiday,is_school_holiday,price,on_promo,days_to_expiry,rolling_7d_sales
2023-02-25,SKU_001,Store_A,11,5,8,2,1,1,0,0,11.87,0,256,14.428571428571429
2023-02-26,SKU_001,Store_A,12,6,8,2,1,1,0,0,25.37,1,179,13.857142857142858
2023-02-27,SKU_001,Store_A,9,0,9,2,0,1,0,0,34.15,0,398,12.428571428571429
2023-02-28,SKU_001,Store_A,17,1,9,2,0,1,0,0,62.03,0,399,13.428571428571429
2023-03-01,SKU_001,Store_A,13,2,9,3,0,1,0,0,31.04,1,176,13.714285714285714
2023-03-02,SKU_001,Store_A,12,3,9,3,0,1,0,0,43.3,0,71,13.428571428571429
2023-03-03,SKU_001,Store_A,25,4,9,3,0,1,0,0,47.91,1,113,14.142857142857142
2023-03-04,SKU_001,Store_A,16,5,9,3,1,1,0,0,10.2,0,209,14.857142857142858
2023-03-05,SKU_001,Store_A,18,6,9,3,1,1,0,0,11.83,0,222,15.714285714285714
2023-03-06,SKU_001,Store_A,10,0,10,3,0,1,0,0,63.87,0,278,15.857142857142858
2023-03-07,SKU_001,Store_A,14,1,10,3,0,1,0,0,9.42,1,311,15.428571428571429
2023-03-08,SKU_001,Store_A,13,2,10,3,0,1,0,0,34.61,0,78,15.428571428571429
2023-03-09,SKU_001,Store_A,5,3,10,3,0,1,0,0,27.39,0,378,14.428571428571429
2023-03-10,SKU_001,Store_A,10,4,10,3,0,1,0,0,25.21,0,109,12.285714285714286
2023-03-11,SKU_001,Store_A,20,5,10,3,1,1,0,0,4.94,0,216,12.857142857142858
2023-03-12,SKU_001,Store_A,13,6,10,3,1,1,0,0,16.91,1,246,12.142857142857142
2023-03-13,SKU_001,Store_A,17,0,11,3,0,1,0,0,36.2,1,201,13.142857142857142
2023-03-14,SKU_001,Store_A,17,1,11,3,0,1,0,0,33.12,0,180,13.571428571428571
2023-03-15,SKU_001,Store_A,16,2,11,3,0,1,0,0,25.01,1,84,14.0
2023-03-16,SKU_001,Store_A,9,3,11,3,0,1,0,0,29.78,0,66,14.571428571428571
2023-03-17,SKU_001,Store_A,19,4,11,3,0,1,0,0,60.98,0,117,15.857142857142858
2023-03-18,SKU_001,Store_A,12,5,11,3,1,1,0,0,9.59,0,254,14.714285714285714
2023-03-19,SKU_001,Store_A,16,6,11,3,1,1,0,0,33.73,0,209,15.142857142857142
2023-03-20,SKU_001,Store_A,16,0,12,3,0,1,0,0,45.82,1,120,15.0
2023-03-21,SKU_001,Store_A,14,1,12,3,0,1,0,0,43.15,0,243,14.571428571428571
2023-03-22,SKU_001,Store_A,12,2,12,3,0,1,0,0,44.14,0,238,14.0
2023-03-23,SKU_001,Store_A,9,3,12,3,0,1,0,0,62.64,0,306,14.0
2023-03-24,SKU_001,Store_A,18,4,12,3,0,1,0,0,41.28,0,335,13.857142857142858
2023-03-25,SKU_001,Store_A,6,5,12,3,1,1,0,0,22.84,0,327,13.0
2023-03-26,SKU_001,Store_A,11,6,12,3,1,1,0,0,21.81,0,78,12.285714285714286
2023-03-27,SKU_001,Store_A,9,0,13,3,0,1,0,0,46.22,0,231,11.285714285714286
2023-03-28,SKU_001,Store_A,5,1,13,3,0,1,0,0,38.91,0,161,10.0
2023-03-29,SKU_001,Store_A,14,2,13,3,0,1,0,0,11.6,1,168,10.285714285714286
2023-03-30,SKU_001,Store_A,15,3,13,3,0,1,0,0,36.1,1,346,11.142857142857142
2023-03-31,SKU_001,Store_A,17,4,13,3,0,1,0,0,37.51,0,134,11.0
2023-04-01,SKU_001,Store_A,7,5,13,4,1,0,0,0,18.84,0,334,11.142857142857142
2023-04-02,SKU_001,Store_A,14,6,13,4,1,0,0,0,3.49,0,381,11.571428571428571
2023-04-03,SKU_001,Store_A,7,0,14,4,0,0,0,0,36.36,0,205,11.285714285714286
2023-04-04,SKU_001,Store_A,8,1,14,4,0,0,0,0,50.77,0,108,11.714285714285714
2023-04-05,SKU_001,Store_A,18,2,14,4,0,0,0,0,18.12,1,266,12.285714285714286
2023-04-06,SKU_001,Store_A,6,3,14,4,0,0,0,0,18.23,0,75,11.0
2023-04-07,SKU_001,Store_A,17,4,14,4,0,0,0,0,61.15,0,63,11.0
2023-04-08,SKU_001,Store_A,20,5,14,4,1,0,0,0,4.83,1,154,12.857142857142858
2023-04-09,SKU_001,Store_A,17,6,14,4,1,0,0,0,44.38,1,127,13.285714285714286
2023-04-10,SKU_001,Store_A,7,0,15,4,0,0,0,0,34.0,0,338,13.285714285714286
2023-04-11,SKU_001,Store_A,14,1,15,4,0,0,0,0,63.02,1,347,14.142857142857142
2023-04-12,SKU_001,Store_A,14,2,15,4,0,0,0,0,58.49,0,340,13.571428571428571
2023-04-13,SKU_001,Store_A,9,3,15,4,0,0,0,0,31.32,0,282,14.0
2023-04-14,SKU_001,Store_A,17,4,15,4,0,0,0,0,52.28,1,238,14.0
2023-04-15,SKU_001,Store_A,10,5,15,4,1,0,0,0,9.42,0,264,12.571428571428571
2023-04-16,SKU_001,Store_A,10,6,15,4,1,0,0,0,62.26,0,324,11.571428571428571
2023-04-17,SKU_001,Store_A,9,0,16,4,0,0,0,0,64.3,0,169,11.857142857142858
2023-04-18,SKU_001,Store_A,7,1,16,4,0,0,0,0,17.15,0,399,10.857142857142858
2023-04-19,SKU_001,Store_A,13,2,16,4,0,0,0,0,60.45,0,133,10.714285714285714
2023-04-20,SKU_001,Store_A,11,3,16,4,0,0,0,0,59.58,0,203,11.0
2023-04-21,SKU_001,Store_A,6,4,16,4,0,0,0,0,30.81,0,247,9.428571428571429
2023-04-22,SKU_001,Store_A,5,5,16,4,1,0,0,0,11.74,0,71,8.714285714285714
2023-04-23,SKU_001,Store_A,13,6,16,4,1,0,0,0,44.6,0,359,9.142857142857142
2023-04-24,SKU_001,Store_A,13,0,17,4,0,0,0,0,8.33,1,258,9.714285714285714
2023-04-25,SKU_001,Store_A,11,1,17,4,0,0,0,0,37.32,0,196,10.285714285714286
2023-04-26,SKU_001,Store_A,19,2,17,4,0,0,0,0,39.22,1,210,11.142857142857142
2023-04-27,SKU_001,Store_A,20,3,17,4,0,0,0,0,41.58,1,221,12.428571428571429
2023-04-28,SKU_001,Store_A,7,4,17,4,0,0,0,0,35.13,0,134,12.571428571428571
2023-04-29,SKU_001,Store_A,8,5,17,4,1,0,0,0,64.03,0,371,13.0
2023-04-30,SKU_001,Store_A,10,6,17,4,1,0,0,0,42.8,0,203,12.571428571428571
2023-05-01,SKU_001,Store_A,12,0,18,5,0,0,0,0,59.3,0,60,12.428571428571429
2023-05-02,SKU_001,Store_A,7,1,18,5,0,0,0,0,49.26,0,371,11.857142857142858
2023-05-03,SKU_001,Store_A,10,2,18,5,0,0,0,0,31.66,0,358,10.571428571428571
2023-05-04,SKU_001,Store_A,16,3,18,5,0,0,0,0,14.37,0,195,10.0
2023-05-05,SKU_001,Store_A,11,4,18,5,0,0,0,0,32.06,0,152,10.571428571428571
2023-05-06,SKU_001,Store_A,18,5,18,5,1,0,0,0,12.89,1,91,12.0
2023-05-07,SKU_001,Store_A,9,6,18,5,1,0,0,0,32.01,0,238,11.857142857142858
2023-05-08,SKU_001,Store_A,14,0,19,5,0,0,0,0,40.81,1,127,12.142857142857142
2023-05-09,SKU_001,Store_A,11,1,19,5,0,0,0,0,37.91,0,170,12.714285714285714
2023-05-10,SKU_001,Store_A,19,2,19,5,0,0,0,0,48.78,1,317,14.0
2023-05-11,SKU_001,Store_A,12,3,19,5,0,0,0,0,62.38,0,180,13.428571428571429
2023-05-12,SKU_001,Store_A,8,4,19,5,0,0,0,0,10.86,0,105,13.0
2023-05-13,SKU_001,Store_A,8,5,19,5,1,0,0,0,15.45,0,235,11.571428571428571
2023-05-14,SKU_001,Store_A,5,6,19,5,1,0,0,0,16.17,0,97,11.0
2023-05-15,SKU_001,Store_A,14,0,20,5,0,0,0,0,15.88,0,294,11.0
2023-05-16,SKU_001,Store_A,14,1,20,5,0,0,0,0,24.77,0,189,11.428571428571429
2023-05-17,SKU_001,Store_A,9,2,20,5,0,0,0,0,15.06,0,393,10.0
2023-05-18,SKU_001,Store_A,13,3,20,5,0,0,0,0,47.56,0,78,10.142857142857142
2023-05-19,SKU_001,Store_A,8,4,20,5,0,0,0,0,37.46,0,193,10.142857142857142
2023-05-20,SKU_001,Store_A,12,5,20,5,1,0,0,0,47.16,0,229,10.714285714285714
2023-05-21,SKU_001,Store_A,15,6,20,5,1,0,0,0,13.72,1,353,12.142857142857142
2023-05-22,SKU_001,Store_A,13,0,21,5,0,0,0,0,54.9,1,170,12.0
2023-05-23,SKU_001,Store_A,10,1,21,5,0,0,0,0,24.9,0,257,11.428571428571429
2023-05-24,SKU_001,Store_A,14,2,21,5,0,0,0,0,47.7,0,334,12.142857142857142
2023-05-25,SKU_001,Store_A,7,3,21,5,0,0,0,0,45.35,0,116,11.285714285714286
2023-05-26,SKU_001,Store_A,15,4,21,5,0,0,0,0,46.43,1,167,12.285714285714286
2023-05-27,SKU_001,Store_A,15,5,21,5,1,0,0,0,5.88,0,118,12.714285714285714
2023-05-28,SKU_001,Store_A,12,6,21,5,1,0,0,0,37.8,1,372,12.285714285714286
2023-05-29,SKU_001,Store_A,13,0,22,5,0,0,0,0,59.63,0,98,12.285714285714286
2023-05-30,SKU_001,Store_A,7,1,22,5,0,0,0,0,45.59,0,327,11.857142857142858
2023-05-31,SKU_001,Store_A,13,2,22,5,0,0,0,0,23.89,0,243,11.714285714285714
2023-06-01,SKU_001,Store_A,17,3,22,6,0,0,0,1,10.87,0,149,13.142857142857142
2023-06-02,SKU_001,Store_A,14,4,22,6,0,0,0,1,28.91,0,198,13.0
2023-06-03,SKU_001,Store_A,19,5,22,6,1,0,0,1,61.5,0,296,13.571428571428571
2023-06-04,SKU_001,Store_A,4,6,22,6,1,0,0,1,47.02,1,290,12.428571428571429
2023-06-05,SKU_001,Store_A,12,0,23,6,0,0,0,1,13.62,0,162,12.285714285714286
2023-06-06,SKU_001,Store_A,14,1,23,6,0,0,0,1,47.34,0,105,13.285714285714286
2023-06-07,SKU_001,Store_A,16,2,23,6,0,0,0,1,64.66,0,388,13.714285714285714
2023-06-08,SKU_001,Store_A,16,3,23,6,0,0,0,1,47.66,0,61,13.571428571428571
2023-06-09,SKU_001,Store_A,17,4,23,6,0,0,0,1,9.51,0,273,14.0
2023-06-10,SKU_001,Store_A,13,5,23,6,1,0,0,1,8.47,0,165,13.142857142857142
2023-06-11,SKU_001,Store_A,16,6,23,6,1,0,0,1,63.7,0,154,14.857142857142858
2023-06-12,SKU_001,Store_A,6,0,24,6,0,0,0,1,55.25,0,171,14.0
2023-06-13,SKU_001,Store_A,13,1,24,6,0,0,0,1,51.3,0,314,13.857142857142858
2023-06-14,SKU_001,Store_A,14,2,24,6,0,0,0,1,3.78,1,307,13.571428571428571
2023-06-15,SKU_001,Store_A,15,3,24,6,0,0,0,1,35.91,0,347,13.428571428571429
2023-06-16,SKU_001,Store_A,17,4,24,6,0,0,0,1,52.94,1,63,13.428571428571429
2023-06-17,SKU_001,Store_A,13,5,24,6,1,0,0,1,63.97,1,130,13.428571428571429
2023-06-18,SKU_001,Store_A,16,6,24,6,1,0,0,1,57.2,0,152,13.428571428571429
2023-06-19,SKU_001,Store_A,13,0,25,6,0,0,0,1,36.88,0,188,14.428571428571429
2023-06-20,SKU_001,Store_A,14,1,25,6,0,0,0,1,56.44,0,142,14.571428571428571
2023-06-21,SKU_001,Store_A,14,2,25,6,0,0,0,1,8.63,0,263,14.571428571428571
2023-06-22,SKU_001,Store_A,13,3,25,6,0,0,0,1,21.03,0,386,14.285714285714286
2023-06-23,SKU_001,Store_A,13,4,25,6,0,0,0,1,20.42,0,129,13.714285714285714
2023-06-24,SKU_001,Store_A,8,5,25,6,1,0,0,1,47.82,0,199,13.0
2023-06-25,SKU_001,Store_A,13,6,25,6,1,0,0,1,54.74,0,170,12.571428571428571
2023-06-26,SKU_001,Store_A,22,0,26,6,0,0,0,1,46.21,0,148,13.857142857142858
2023-06-27,SKU_001,Store_A,12,1,26,6,0,0,0,1,17.88,0,234,13.571428571428571
2023-06-28,SKU_001,Store_A,12,2,26,6,0,0,0,1,34.61,0,397,13.285714285714286
2023-06-29,SKU_001,Store_A,19,3,26,6,0,0,0,1,17.85,1,146,14.142857142857142
2023-06-30,SKU_001,Store_A,17,4,26,6,0,0,0,1,47.26,0,372,14.714285714285714
2023-07-01,SKU_001,Store_A,15,5,26,7,1,1,0,0,29.02,1,129,15.714285714285714
2023-07-02,SKU_001,Store_A,13,6,26,7,1,1,0,0,16.31,1,182,15.714285714285714
2023-07-03,SKU_001,Store_A,15,0,27,7,0,1,0,0,59.14,0,126,14.714285714285714
2023-07-04,SKU_001,Store_A,14,1,27,7,0,1,0,0,26.37,0,72,15.0
2023-07-05,SKU_001,Store_A,16,2,27,7,0,1,0,0,6.53,0,314,15.571428571428571
2023-07-06,SKU_001,Store_A,17,3,27,7,0,1,0,0,18.65,0,312,15.285714285714286
2023-07-07,SKU_001,Store_A,6,4,27,7,0,1,0,0,6.94,0,391,13.714285714285714
2023-07-08,SKU_001,Store_A,10,5,27,7,1,1,0,0,48.02,0,88,13.0
2023-07-09,SKU_001,Store_A,11,6,27,7,1,1,0,0,62.94,0,318,12.714285714285714
2023-07-10,SKU_001,Store_A,16,0,28,7,0,1,0,0,12.36,0,187,12.857142857142858
2023-07-11,SKU_001,Store_A,11,1,28,7,0,1,0,0,8.82,0,148,12.428571428571429
2023-07-12,SKU_001,Store_A,12,2,28,7,0,1,0,0,6.04,0,100,11.857142857142858
2023-07-13,SKU_001,Store_A,11,3,28,7,0,1,0,0,28.36,0,78,11.0
2023-07-14,SKU_001,Store_A,10,4,28,7,0,1,0,0,47.01,0,279,11.571428571428571
2023-07-15,SKU_001,Store_A,15,5,28,7,1,1,0,0,44.9,0,207,12.285714285714286
2023-07-16,SKU_001,Store_A,12,6,28,7,1,1,0,0,32.47,0,227,12.428571428571429
2023-07-17,SKU_001,Store_A,14,0,29,7,0,1,0,0,51.59,0,194,12.142857142857142
2023-07-18,SKU_001,Store_A,11,1,29,7,0,1,0,0,14.78,0,151,12.142857142857142
2023-07-19,SKU_001,Store_A,18,2,29,7,0,1,0,0,13.94,1,382,13.0
2023-07-20,SKU_001,Store_A,26,3,29,7,0,1,0,0,12.29,1,272,15.142857142857142
2023-07-21,SKU_001,Store_A,18,4,29,7,0,1,0,0,60.4,0,62,16.285714285714285
2023-07-22,SKU_001,Store_A,9,5,29,7,1,1,0,0,24.5,0,343,15.428571428571429
2023-07-23,SKU_001,Store_A,17,6,29,7,1,1,0,0,16.79,0,156,16.142857142857142
2023-07-24,SKU_001,Store_A,10,0,30,7,0,1,0,0,40.68,0,120,15.571428571428571
2023-07-25,SKU_001,Store_A,17,1,30,7,0,1,0,0,13.19,0,189,16.428571428571427
2023-07-26,SKU_001,Store_A,11,2,30,7,0,1,0,0,24.1,0,347,15.428571428571429
2023-07-27,SKU_001,Store_A,16,3,30,7,0,1,0,0,28.5,0,61,14.0
2023-07-28,SKU_001,Store_A,14,4,30,7,0,1,0,0,24.24,0,336,13.428571428571429
2023-07-29,SKU_001,Store_A,12,5,30,7,1,1,0,0,14.59,0,333,13.857142857142858
2023-07-30,SKU_001,Store_A,9,6,30,7,1,1,0,0,16.94,0,330,12.714285714285714
2023-07-31,SKU_001,Store_A,18,0,31,7,0,1,0,0,25.06,1,332,13.857142857142858
2023-08-01,SKU_001,Store_A,8,1,31,8,0,0,0,0,36.64,0,335,12.571428571428571
2023-08-02,SKU_001,Store_A,15,2,31,8,0,0,0,0,53.41,0,342,13.142857142857142
2023-08-03,SKU_001,Store_A,11,3,31,8,0,0,0,0,18.78,0,214,12.428571428571429
2023-08-04,SKU_001,Store_A,10,4,31,8,0,0,0,0,47.42,0,219,11.857142857142858
2023-08-05,SKU_001,Store_A,12,5,31,8,1,0,0,0,42.56,0,292,11.857142857142858
2023-08-06,SKU_001,Store_A,12,6,31,8,1,0,0,0,60.63,0,167,12.285714285714286
2023-08-07,SKU_001,Store_A,6,0,32,8,0,0,0,0,11.5,0,156,10.571428571428571
2023-08-08,SKU_001,Store_A,8,1,32,8,0,0,0,0,27.52,1,146,10.571428571428571
2023-08-09,SKU_001,Store_A,9,2,32,8,0,0,0,0,22.48,1,244,9.714285714285714
2023-08-10,SKU_001,Store_A,7,3,32,8,0,0,0,0,49.48,0,219,9.142857142857142
2023-08-11,SKU_001,Store_A,5,4,32,8,0,0,0,0,10.1,0,149,8.428571428571429
2023-08-12,SKU_001,Store_A,11,5,32,8,1,0,0,0,26.99,0,133,8.285714285714286
2023-08-13,SKU_001,Store_A,11,6,32,8,1,0,0,0,62.42,1,242,8.142857142857142
2023-08-14,SKU_001,Store_A,9,0,33,8,0,0,0,0,22.98,0,152,8.571428571428571
2023-08-15,SKU_001,Store_A,9,1,33,8,0,0,0,0,41.0,0,124,8.714285714285714
2023-08-16,SKU_001,Store_A,14,2,33,8,0,0,0,0,29.06,1,326,9.428571428571429
2023-08-17,SKU_001,Store_A,18,3,33,8,0,0,0,0,26.8,0,207,11.0
2023-08-18,SKU_001,Store_A,7,4,33,8,0,0,0,0,37.01,0,294,11.285714285714286
2023-08-19,SKU_001,Store_A,14,5,33,8,1,0,0,0,5.1,0,209,11.714285714285714
2023-08-20,SKU_001,Store_A,8,6,33,8,1,0,0,0,48.59,0,188,11.285714285714286
2023-08-21,SKU_001,Store_A,10,0,34,8,0,0,0,0,27.55,0,159,11.428571428571429
2023-08-22,SKU_001,Store_A,6,1,34,8,0,0,0,0,32.25,0,329,11.0
2023-08-23,SKU_001,Store_A,8,2,34,8,0,0,0,0,44.33,0,326,10.142857142857142
2023-08-24,SKU_001,Store_A,9,3,34,8,0,0,0,0,12.02,0,207,8.857142857142858
2023-08-25,SKU_001,Store_A,8,4,34,8,0,0,0,0,49.98,0,184,9.0
2023-08-26,SKU_001,Store_A,12,5,34,8,1,0,0,0,41.72,1,385,8.714285714285714
2023-08-27,SKU_001,Store_A,9,6,34,8,1,0,0,0,34.26,0,283,8.857142857142858
2023-08-28,SKU_001,Store_A,14,0,35,8,0,0,0,0,21.43,0,394,9.428571428571429
2023-08-29,SKU_001,Store_A,7,1,35,8,0,0,0,0,36.65,0,371,9.571428571428571
2023-08-30,SKU_001,Store_A,11,2,35,8,0,0,0,0,62.13,1,133,10.0
2023-08-31,SKU_001,Store_A,12,3,35,8,0,0,0,0,17.3,0,197,10.428571428571429
2023-09-01,SKU_001,Store_A,11,4,35,9,0,0,0,0,57.77,0,295,10.857142857142858
2023-09-02,SKU_001,Store_A,8,5,35,9,1,0,0,0,6.16,0,171,10.285714285714286
2023-09-03,SKU_001,Store_A,11,6,35,9,1,0,0,0,59.06,0,143,10.571428571428571
2023-09-04,SKU_001,Store_A,11,0,36,9,0,0,0,0,19.24,0,228,10.142857142857142
2023-09-05,SKU_001,Store_A,11,1,36,9,0,0,0,0,53.15,0,159,10.714285714285714
2023-09-06,SKU_001,Store_A,26,2,36,9,0,0,0,0,5.38,1,276,12.857142857142858
2023-09-07,SKU_001,Store_A,3,3,36,9,0,0,0,0,27.83,0,331,11.571428571428571
2023-09-08,SKU_001,Store_A,23,4,36,9,0,0,0,0,55.98,1,261,13.285714285714286
2023-09-09,SKU_001,Store_A,12,5,36,9,1,0,0,0,46.99,0,225,13.857142857142858
2023-09-10,SKU_001,Store_A,8,6,36,9,1,0,0,0,25.81,0,122,13.428571428571429
2023-09-11,SKU_001,Store_A,11,0,37,9,0,0,0,0,39.36,0,123,13.428571428571429
2023-09-12,SKU_001,Store_A,10,1,37,9,0,0,0,0,62.61,0,385,13.285714285714286
2023-09-13,SKU_001,Store_A,7,2,37,9,0,0,0,0,11.42,0,341,10.571428571428571
2023-09-14,SKU_001,Store_A,13,3,37,9,0,0,0,0,21.77,0,130,12.0
2023-09-15,SKU_001,Store_A,14,4,37,9,0,0,0,0,45.99,1,85,10.714285714285714
2023-09-16,SKU_001,Store_A,7,5,37,9,1,0,0,0,27.87,0,65,10.0
2023-09-17,SKU_001,Store_A,14,6,37,9,1,0,0,0,63.26,0,325,10.857142857142858
2023-09-18,SKU_001,Store_A,14,0,38,9,0,0,0,0,59.16,0,139,11.285714285714286
2023-09-19,SKU_001,Store_A,12,1,38,9,0,0,0,0,19.34,0,230,11.571428571428571
2023-09-20,SKU_001,Store_A,7,2,38,9,0,0,0,0,6.35,0,139,11.571428571428571
2023-09-21,SKU_001,Store_A,9,3,38,9,0,0,0,0,49.99,0,150,11.0
2023-09-22,SKU_001,Store_A,14,4,38,9,0,0,0,0,35.7,0,353,11.0
2023-09-23,SKU_001,Store_A,10,5,38,9,1,0,0,0,14.07,0,72,11.428571428571429
2023-09-24,SKU_001,Store_A,12,6,38,9,1,0,0,0,62.2,0,294,11.142857142857142
2023-09-25,SKU_001,Store_A,14,0,39,9,0,0,0,0,45.15,0,89,11.142857142857142
2023-09-26,SKU_001,Store_A,10,1,39,9,0,0,0,0,8.23,0,261,10.857142857142858
2023-09-27,SKU_001,Store_A,7,2,39,9,0,0,0,0,8.15,0,390,10.857142857142858
2023-09-28,SKU_001,Store_A,8,3,39,9,0,0,0,0,16.68,0,201,10.714285714285714
2023-09-29,SKU_001,Store_A,8,4,39,9,0,0,0,0,57.52,1,116,9.857142857142858
2023-09-30,SKU_001,Store_A,10,5,39,9,1,0,0,0,48.79,0,337,9.857142857142858
2023-10-01,SKU_001,Store_A,11,6,39,10,1,0,0,0,20.96,0,85,9.714285714285714
2023-10-02,SKU_001,Store_A,12,0,40,10,0,0,0,0,62.36,1,129,9.428571428571429
2023-10-03,SKU_001,Store_A,13,1,40,10,0,0,0,0,39.64,0,135,9.857142857142858
2023-10-04,SKU_001,Store_A,7,2,40,10,0,0,0,0,60.94,0,133,9.857142857142858
2023-10-05,SKU_001,Store_A,10,3,40,10,0,0,0,0,21.8,0,135,10.142857142857142
2023-10-06,SKU_001,Store_A,7,4,40,10,0,0,0,0,60.59,0,76,10.0
2023-10-07,SKU_001,Store_A,15,5,40,10,1,0,0,0,25.75,1,327,10.714285714285714
